queue_id,post_id,status,assigned_to
Q00119,P00538,reviewed,ModB
Q00120,P00520,queued,ModB
Q00121,P00134,reviewed,ModA
Q00122,P00188,queued,ModC
Q00123,P00433,queued,ModC
Q00124,P00519,actioned,ModA
Q00125,P00477,reviewed,ModD
Q00126,P00426,reviewed,ModC
Q00127,P00361,actioned,ModD
Q00128,P00413,actioned,ModB
Q00129,P00074,queued,ModC
Q00130,P00306,actioned,ModD
Q00131,P00108,queued,ModB
Q00132,P00193,queued,ModD
Q00133,P00556,reviewed,ModD
Q00134,P00233,queued,ModA
Q00135,P00176,reviewed,ModB
Q00136,P00263,queued,ModB
Q00137,P00157,actioned,ModA
Q00138,P00195,reviewed,ModC
Q00139,P00490,reviewed,ModA
Q00140,P00227,queued,ModB
Q00141,P00383,queued,ModC
Q00142,P00522,queued,ModC
Q00143,P00494,queued,ModC
Q00144,P00205,reviewed,ModA
Q00145,P00525,queued,ModA
Q00146,P00505,reviewed,ModB
Q00147,P00268,queued,ModA
Q00148,P00389,queued,ModA
Q00149,P00578,actioned,ModD
Q00150,P00500,queued,ModC
Q00151,P00591,actioned,ModD
Q00152,P00089,queued,ModB
Q00153,P00514,queued,ModA
Q00154,P00468,dismissed,ModA
Q00155,P00002,reviewed,ModC
Q00156,P00060,actioned,ModD
Q00157,P00166,actioned,ModB
Q00158,P00037,dismissed,ModC
Q00159,P00223,queued,ModD
Q00160,P00242,actioned,ModD
Q00161,P00395,reviewed,ModC
Q00162,P00380,queued,ModB
Q00163,P00406,queued,ModA
Q00164,P00388,actioned,ModC
Q00165,P00152,actioned,ModD
Q00166,P00397,dismissed,ModB
Q00167,P00262,actioned,ModA
Q00168,P00342,queued,ModB
Q00169,P00040,reviewed,ModC
Q00170,P00416,queued,ModA
Q00171,P00440,actioned,ModB
Q00172,P00466,actioned,ModA
Q00173,P00185,reviewed,ModC
Q00174,P00299,actioned,ModC
Q00175,P00399,queued,ModD
Q00176,P00475,queued,ModC
Q00177,P00230,reviewed,ModC
Q00178,P00133,dismissed,ModC
Q00179,P00454,queued,ModD
Q00180,P00120,reviewed,ModD
Q00181,P00228,actioned,ModD
Q00182,P00290,reviewed,ModA
Q00183,P00583,queued,ModB
Q00184,P00136,dismissed,ModB
Q00185,P00516,reviewed,ModA
Q00186,P00211,actioned,ModA
Q00187,P00599,dismissed,ModC
Q00188,P00194,dismissed,ModD
Q00189,P00121,dismissed,ModB
Q00190,P00150,queued,ModB
Q00191,P00019,actioned,ModB
Q00192,P00057,reviewed,ModC
Q00193,P00569,reviewed,ModA
Q00194,P00502,actioned,ModB
Q00195,P00137,queued,ModD
Q00196,P00412,reviewed,ModB
Q00197,P00073,queued,ModB
Q00198,P00099,queued,ModC
Q00199,P00396,actioned,ModA
Q00200,P00481,reviewed,ModC
Q00201,P00202,reviewed,ModA
Q00202,P00313,queued,ModB
Q00203,P00422,actioned,ModA
Q00204,P00267,dismissed,ModB
Q00205,P00034,queued,ModB
Q00206,P00501,queued,ModC
Q00207,P00048,reviewed,ModA
Q00208,P00321,queued,ModD
Q00209,P00467,reviewed,ModA
Q00210,P00470,dismissed,ModB
Q00211,P00574,dismissed,ModC
Q00212,P00079,dismissed,ModC
Q00213,P00573,reviewed,ModC
Q00214,P00363,dismissed,ModD
Q00215,P00100,queued,ModD
Q00216,P00183,dismissed,ModD
Q00217,P00095,reviewed,ModA
Q00218,P00241,reviewed,ModB
Q00219,P00379,reviewed,ModA
Q00220,P00005,actioned,ModD
Q00221,P00235,actioned,ModD
Q00222,P00365,reviewed,ModD
Q00223,P00331,queued,ModD
Q00224,P00506,actioned,ModD
Q00225,P00447,dismissed,ModB
Q00226,P00123,reviewed,ModB
Q00227,P00509,dismissed,ModC
Q00228,P00232,reviewed,ModB
Q00229,P00510,queued,ModC
Q00230,P00053,reviewed,ModD
Q00231,P00408,queued,ModB
Q00232,P00170,reviewed,ModA
Q00233,P00463,actioned,ModC
Q00234,P00471,dismissed,ModB
Q00235,P00109,queued,ModD
Q00236,P00436,actioned,ModB
Q00237,P00438,reviewed,ModB
Q00238,P00371,queued,ModD
Q00239,P00182,queued,ModC
Q00240,P00110,queued,ModC
Q00241,P00147,queued,ModC
Q00242,P00028,queued,ModA
Q00243,P00305,reviewed,ModA
Q00244,P00327,dismissed,ModD
Q00245,P00043,queued,ModB
Q00246,P00472,queued,ModC
Q00247,P00285,actioned,ModA
Q00248,P00014,reviewed,ModC
Q00249,P00272,reviewed,ModC
Q00250,P00348,actioned,ModD
Q00251,P00368,dismissed,ModC
Q00252,P00113,actioned,ModC
Q00253,P00485,dismissed,ModB
Q00254,P00462,actioned,ModB
Q00255,P00072,queued,ModC
Q00256,P00382,actioned,ModD
Q00257,P00289,reviewed,ModA
Q00258,P00042,queued,ModC
Q00259,P00204,actioned,ModD
Q00260,P00464,dismissed,ModC
Q00261,P00008,reviewed,ModA
Q00262,P00580,reviewed,ModB
Q00263,P00315,queued,ModD
Q00264,P00565,dismissed,ModA
Q00265,P00226,actioned,ModB
Q00266,P00550,actioned,ModA
Q00267,P00038,queued,ModB
Q00268,P00410,queued,ModD
Q00269,P00080,queued,ModC
Q00270,P00246,actioned,ModD
Q00271,P00577,reviewed,ModC
Q00272,P00543,queued,ModC
Q00273,P00050,queued,ModB
Q00274,P00414,reviewed,ModC
Q00275,P00311,queued,ModA
Q00276,P00275,actioned,ModC
Q00277,P00560,reviewed,ModB
Q00278,P00423,queued,ModD
Q00279,P00319,actioned,ModA
Q00280,P00482,actioned,ModB
Q00281,P00596,queued,ModD
Q00282,P00542,reviewed,ModD
Q00283,P00483,queued,ModB
Q00284,P00098,queued,ModB
Q00285,P00479,queued,ModA
Q00286,P00066,queued,ModB
Q00287,P00586,dismissed,ModD
Q00288,P00529,queued,ModD
Q00289,P00086,actioned,ModC
Q00290,P00190,queued,ModA
Q00291,P00101,actioned,ModC
Q00292,P00258,reviewed,ModB
Q00293,P00158,queued,ModA
Q00294,P00362,actioned,ModD
Q00295,P00092,actioned,ModD
Q00296,P00105,dismissed,ModC
Q00297,P00335,reviewed,ModA
Q00298,P00375,queued,ModC
Q00299,P00493,queued,ModA
Q00300,P00415,actioned,ModB
Q00301,P00455,queued,ModC
Q00302,P00324,reviewed,ModB
Q00303,P00178,queued,ModB
Q00304,P00437,reviewed,ModC
Q00305,P00032,queued,ModA
Q00306,P00070,queued,ModB
Q00307,P00009,actioned,ModD
Q00308,P00067,reviewed,ModD
Q00309,P00443,dismissed,ModC
Q00310,P00457,queued,ModB
Q00311,P00292,dismissed,ModC
Q00312,P00357,queued,ModC
Q00313,P00328,queued,ModD
Q00314,P00012,actioned,ModB
Q00315,P00347,reviewed,ModD
Q00316,P00585,actioned,ModC
Q00317,P00021,dismissed,ModD
Q00318,P00026,reviewed,ModB
Q00319,P00480,queued,ModA
Q00320,P00460,actioned,ModB
Q00321,P00576,queued,ModD
Q00322,P00535,queued,ModC
Q00323,P00439,queued,ModB
Q00324,P00237,queued,ModB
Q00325,P00352,queued,ModB
Q00326,P00345,queued,ModB
Q00327,P00284,dismissed,ModC
Q00328,P00279,dismissed,ModC
Q00329,P00270,actioned,ModD
Q00330,P00149,dismissed,ModC
Q00331,P00281,queued,ModB
Q00332,P00249,queued,ModC
Q00333,P00377,actioned,ModA
Q00334,P00261,actioned,ModD
Q00335,P00334,queued,ModB
Q00336,P00515,queued,ModC
Q00337,P00564,actioned,ModC
Q00338,P00355,actioned,ModC
Q00339,P00191,queued,ModB
Q00340,P00425,reviewed,ModC
Q00341,P00367,reviewed,ModB
Q00342,P00063,queued,ModC
Q00343,P00187,queued,ModC
Q00344,P00517,actioned,ModA
Q00345,P00203,queued,ModB
Q00346,P00051,queued,ModC
Q00347,P00124,dismissed,ModA
Q00348,P00056,queued,ModB
Q00349,P00532,reviewed,ModB
